legacy	candidate	commit	creatordate	status
0.2.14.3	v0.77.11	a51e50cfe3e9c0f9b8a2d42be1511a329adcecab	2023-02-23T01:36:00-03:00	ok
0.2.14.4	v0.77.12	a9b072db6629c0d6da65e788f401e346b06a9fe5	2023-02-23T02:14:00-03:00	ok
0.2.14	v0.77.13	7f551e219f94d129ac517d079117c1dda7f93103	2023-02-23T03:11:09-03:00	ok
0.2.14.5		7f551e219f94d129ac517d079117c1dda7f93103	2023-02-23T03:11:09-03:00	alias
0.2.15	v0.78.0	e2fb1b07880d5898ae629c4d5582a1c49c10ef76	2023-11-06T16:44:02-03:00	ok
0.2.16	v0.78.1	c9d5aa023dc6ccfd7b8c95fe85b690c01669b18c	2023-11-06T17:31:28-03:00	ok
furhatgpt		c9d5aa023dc6ccfd7b8c95fe85b690c01669b18c	2023-11-06T17:31:28-03:00	label-keep
0.2.17	v0.78.2	4c378c16eef9871ade9fbc8da04130ec62659deb	2025-01-30T16:38:37-03:00	ok
0.2.18	v0.78.3	cdc8c3433730594e42caa85e514f555612e11c36	2025-01-31T15:40:09-03:00	ok
0.2.19	v0.79.0	172b12f89d8a525e4f7bf349e33798e647575452	2026-06-09T21:21:08-03:00	ok
alpha		172b12f89d8a525e4f7bf349e33798e647575452	2026-06-09T21:21:08-03:00	label-keep
organic		172b12f89d8a525e4f7bf349e33798e647575452	2026-06-09T21:21:08-03:00	label-keep
stable		172b12f89d8a525e4f7bf349e33798e647575452	2026-06-09T21:21:08-03:00	label-keep
v0.3.0	v0.81.0	47ff95d0340f8e2ba6a6b1624e4f428d3db1a7a1	2026-06-10T18:29:06-03:00	already-semver
v0.3.1	v0.82.0	5323ee607b0228857fb3449bffc82961a7726c83	2026-06-14T07:34:17-03:00	already-semver
